,ACCESS-CM2,INM-CM4-8,CESM2-WACCM,ACCESS-ESM1-5,MRI-ESM2-0,CESM2,MPI-ESM1-2-LR,INM-CM5-0,NorESM2-MM,IPSL-CM6A-LR
2029-05-15,12.68612,12.776154,12.0621195,11.179978,10.815208,10.907952,10.46049,10.784395,11.928653,10.781114
2029-06-15,10.076676,10.083536,9.966624,9.068803,7.9722757,8.383344,7.694025,8.619502,9.89587,8.1601305
2029-07-15,5.64345,7.793288,7.3115745,6.403588,5.343642,4.58072,4.265552,6.104933,7.7039065,4.266333
2029-08-15,2.0842733,6.0829854,3.928619,3.9588614,3.1393273,1.0255961,2.3904824,4.263992,5.7788706,1.0118697
2029-09-15,1.4829501,5.842309,2.3845713,3.0499444,2.4381807,0.47923425,2.1892927,3.8617153,5.641786,0.5393548
2029-10-15,4.515149,7.5215225,5.6238327,4.5372386,4.0077105,2.1545343,3.935998,5.4317303,8.539,2.13982
2029-11-15,8.142577,10.030746,9.10712,6.741234,6.4646087,6.1980705,7.005921,7.889865,10.550991,5.1014566
2029-12-15,11.230155,11.898503,10.853957,9.584022,9.141438,9.133524,9.05061,10.024997,11.896036,9.560313
2030-01-15,12.652702,13.554738,12.765846,11.258324,11.439706,11.597603,10.608617,12.007591,13.644973,12.098744
2030-02-15,13.949336,14.645641,13.66051,12.566159,12.267141,12.9316,11.686738,13.194296,14.23706,13.527838
2030-03-15,14.616739,15.122921,13.766444,12.955906,12.177701,13.15074,11.985282,13.531114,14.084366,13.422696
2030-04-15,14.145904,14.451603,13.338402,12.44963,11.608555,12.576714,11.74493,12.792431,13.255964,12.616944
2030-05-15,12.741507,12.348101,11.812735,10.677421,10.641891,10.707612,10.512825,11.191378,12.0474205,10.510595
2030-06-15,10.200794,9.834032,9.57115,8.714994,7.664561,8.312927,8.1088085,8.891876,10.081214,7.938362
2030-07-15,6.394792,7.8009195,7.0784,6.4438086,4.678545,4.599368,4.827222,6.30958,7.7384286,4.5437045
2030-08-15,2.4505534,6.1514463,4.294212,3.972899,2.1042712,1.1247085,2.8673,4.5744195,5.4908814,1.1819133
2030-09-15,1.9881967,5.7651043,3.2420385,3.180425,1.2334077,0.47925627,2.5708997,4.326091,5.4752283,0.68773925
2030-10-15,5.3217363,7.5685763,5.9223385,4.573739,2.2848358,2.1931252,4.4710026,6.0488605,8.529417,2.0940373
2030-11-15,9.138448,9.804573,8.849166,6.6420827,4.8698483,6.004878,7.3065968,8.865091,10.622696,6.001246
2030-12-15,11.476521,11.532884,10.572781,9.184732,8.242247,9.354296,9.44411,10.695995,12.082022,9.309972
2031-01-15,13.318242,13.4600315,12.528159,10.947021,10.745534,11.523876,11.212491,12.2842045,13.840932,12.200549
2031-02-15,14.682326,14.738058,13.543402,12.533416,12.064243,13.001231,12.271609,13.536013,14.499289,13.713885
2031-03-15,15.061713,15.175884,13.876859,13.159864,12.307676,13.220185,12.418524,13.979992,14.529926,13.660771
2031-04-15,14.758757,14.516228,13.234858,12.7897215,11.747613,12.909794,11.940979,13.381838,13.872329,13.017296
2031-05-15,12.860514,12.499031,11.547795,11.185095,10.182131,11.30866,10.664742,11.630064,12.1886215,11.122089
2031-06-15,9.743268,9.749941,9.433179,9.040304,7.373389,9.03219,7.8003297,9.255922,9.903273,8.231821
2031-07-15,5.494317,7.9741726,6.866094,6.5745063,4.7056484,4.9163995,4.755983,6.5162454,7.5412884,4.660875
2031-08-15,2.0567753,6.6927023,4.241855,3.7748945,2.2260163,1.0864354,2.4528728,4.561924,5.422551,1.4243276
2031-09-15,1.5192813,6.539263,3.0562456,2.8139918,1.2056689,0.49812114,2.0445454,4.0855017,5.0857496,0.7433705
2031-10-15,4.2024307,8.436149,5.2217975,4.5508375,2.609858,2.3077726,3.6341789,5.452695,8.067023,2.5317247
2031-11-15,8.0961485,10.213795,8.260916,7.024577,4.563146,6.545128,6.8208857,8.814972,10.464422,6.904744
2031-12-15,10.867432,11.465528,10.733782,9.24062,8.234921,10.097173,9.137924,11.352712,11.87605,10.506083
2032-01-15,12.728176,13.336039,12.500815,11.301535,11.441608,11.975882,11.050729,13.159006,13.5079975,12.75999
2032-02-15,14.424305,14.305527,13.489372,12.537193,12.329399,12.874488,12.236484,13.837389,14.147316,13.939554
2032-03-15,14.868717,14.668043,13.761734,13.015355,12.651369,13.27963,12.759986,13.910136,14.461095,14.22983
2032-04-15,14.739927,13.466376,13.297537,12.434067,11.899212,12.733198,12.098963,12.994214,13.82941,13.46262
2032-05-15,12.782475,11.5262985,11.651844,10.838427,10.542879,10.819117,10.64318,11.085478,12.165062,11.518018
2032-06-15,9.662002,9.153978,9.435161,8.733484,7.697808,8.233076,8.079522,9.013005,10.172872,8.784506
2032-07-15,5.617605,7.1222696,6.779352,6.260142,4.8051343,4.4588766,4.8089776,6.310428,8.130024,5.480296
2032-08-15,2.2595527,5.687477,3.587611,4.0290127,1.9176326,0.8258591,2.5070124,4.367852,5.9458723,2.0741954
2032-09-15,1.5536788,5.202013,2.7512312,3.2217042,1.0609177,0.39894837,2.1349497,4.090305,5.8452435,1.5045826
2032-10-15,4.3325706,6.4254217,5.162783,4.333957,2.5845494,1.5597169,4.3526545,5.5492196,8.464144,3.3477728
2032-11-15,8.329101,9.259549,8.517333,6.340513,6.300165,6.409924,7.5696716,8.38994,10.534904,7.4708447
2032-12-15,10.681778,11.02554,10.741273,8.942144,9.758699,9.471756,9.549255,10.78466,12.47779,11.019544
2033-01-15,12.592285,12.95608,12.192533,10.939186,11.631226,11.810059,11.256398,12.7737055,13.833143,13.085284
2033-02-15,14.1141615,14.015091,13.391392,12.149626,12.541758,12.967199,12.115868,14.0922365,14.345441,14.264566
2033-03-15,14.8156395,14.376489,13.494969,12.569462,12.790382,13.115167,12.357332,14.315502,13.971776,14.291032
2033-04-15,14.455273,13.829369,13.066317,11.956588,12.181173,12.8119955,11.949978,13.623856,13.459724,13.603156
2033-05-15,12.674172,12.23273,11.427087,10.462643,10.590492,10.966528,10.566183,12.0622635,11.920528,11.529115
2033-06-15,9.89614,10.073125,9.221707,8.449587,7.5865803,8.670616,8.030294,9.7270355,10.088316,8.51514
2033-07-15,6.166332,7.8730655,6.281072,5.516609,4.530855,5.3975105,5.1482983,7.2421675,7.9905496,4.641573
2033-08-15,2.7477436,6.0907354,3.3543246,2.5892766,1.6689662,1.342792,3.0469906,5.6004906,6.018148,1.4448273
